name,ra,dec,vmag
HIP 61359,188.5968086,-23.39662306, 2.65
HIP 64962,199.7302224,-23.17141246, 2.99
HIP 78401,240.0833823,-22.62162024, 2.29
HIP 59316,182.5313577,-22.61979211, 3.02
HIP 27072,86.11656241,-22.44748663, 3.59
HIP 105881,321.6667821,-22.41137838, 3.77
HIP 23685,76.36521705,-22.37085673, 3.19
HIP 15474,49.87904033,-21.7579421, 3.70
HIP 93683,286.1705577,-21.74135451, 3.76
HIP 114341,347.3615088,-21.17248555, 3.68
HIP 93085,284.4324156,-21.10662433, 3.52
HIP 9347,30.0009367,-21.07777193, 3.99
HIP 89341,273.4408696,-21.05883031, 3.84
HIP 94141,287.440974,-21.02352534, 2.88
HIP 27654,87.82980343,-20.87751376, 3.76
HIP 25606,82.06135971,-20.75923214, 2.81
HIP 78933,241.701802,-20.66913479, 3.93
HIP 115438,350.7429228,-20.10034505, 3.96
HIP 78820,241.3593121,-19.80539286, 2.56
HIP 31592,99.17082883,-19.25570928, 3.95
HIP 3419,10.89678452,-17.9866841, 2.04
HIP 30324,95.6749475,-17.95591658, 1.98
HIP 95168,290.4182304,-17.84725155, 3.92
HIP 25985,83.18255798,-17.82229227, 2.58
HIP 59803,183.9519494,-17.5419837, 2.58
HIP 51069,156.5229377,-16.83609584, 3.83
HIP 32349,101.2885411,-16.71314306,-1.44
HIP 106985,325.0222594,-16.66225343, 3.69
HIP 60965,187.4665965,-16.51509397, 2.94
HIP 24305,78.2328046,-16.20542901, 3.29
HIP 52943,162.405967,-16.19413208, 3.11
HIP 107556,326.759522,-16.12656595, 2.85
HIP 72622,222.7199054,-16.04161047, 2.75
HIP 8102,26.02136441,-15.93955597, 3.49
HIP 113136,343.6626635,-15.82075994, 3.27
HIP 84012,257.5944266,-15.72514757, 2.43
HIP 86263,264.3967718,-15.39840835, 3.54
HIP 27288,86.73895728,-14.82194717, 3.55
HIP 76333,233.881414,-14.78955365, 3.91
HIP 100345,305.2526935,-14.78140119, 3.05
HIP 55282,169.835511,-14.77904358, 3.56
HIP 21594,69.54529558,-14.303587, 3.86
HIP 28103,89.10132627,-14.16803805, 3.71
HIP 18543,59.50720862,-13.50824471, 2.97
HIP 100064,304.5134103,-12.54485877, 3.58
HIP 49841,152.6474879,-12.35383921, 3.61
HIP 65474,201.2983523,-11.16124491, 0.98
HIP 81377,249.2897085,-10.5671518, 2.54
HIP 8645,27.86504416,-10.33494526, 3.74
HIP 5364,17.14693197,-10.181928, 3.46
HIP 88048,269.7566566,-9.77334973, 3.32
HIP 17378,55.81231706,-9.76519868, 3.52
HIP 27366,86.93911641,-9.66960186, 2.07
HIP 37447,115.3119861,-9.55108315, 3.94
HIP 102618,311.9188857,-9.49568988, 3.78
HIP 16537,53.23509009,-9.45830584, 3.72
HIP 74785,229.2519659,-9.38286694, 2.61
HIP 13701,44.10668245,-8.89760976, 3.89
HIP 1562,4.85701265,-8.82382948, 3.56
HIP 46390,141.8968826,-8.65868335, 1.99
HIP 91117,278.8018244,-8.24330819, 3.85
HIP 24436,78.63446353,-8.20163919, 0.18
HIP 6537,21.00604671,-8.18275372, 3.60
HIP 112961,343.1536019,-7.57967878, 3.73
HIP 30867,97.20447548,-7.03305042, 3.76
HIP 24674,79.40166225,-6.84438616, 3.59
HIP 29651,93.71390194,-6.27472737, 3.99
HIP 26241,83.85825475,-5.90989984, 2.75
HIP 71957,220.7648428,-5.6574291, 3.87
HIP 106278,322.8896695,-5.57115593, 2.90
HIP 23875,76.96264146,-5.08626282, 2.78
HIP 93805,286.5622914,-4.88233456, 3.43
HIP 79882,244.5801699,-4.69260809, 3.23
HIP 41307,126.4152955,-3.90636482, 3.91
HIP 79593,243.586526,-3.69397562, 2.73
HIP 77516,237.4052738,-3.43014112, 3.54
HIP 21444,69.07975243,-3.352448, 3.93
HIP 89962,275.3288358,-2.897122, 3.23
HIP 26549,84.68652211,-2.60006791, 3.77
HIP 25281,81.11923774,-2.39713844, 3.35
HIP 26727,85.18968672,-1.94257841, 1.74
HIP 61941,190.4166756,-1.44952231, 2.74
HIP 110395,335.4137498,-1.38735315, 3.86
HIP 26311,84.05338572,-1.20191725, 1.69
HIP 47431,144.9638916,-1.14265722, 3.90
HIP 99473,302.8261033,-0.82147569, 3.24
HIP 60129,184.976631,-0.66674709, 3.89
HIP 66249,203.673978,-0.59593821, 3.38
HIP 109074,331.4459387,-0.31982656, 2.95
HIP 25930,83.00166562,-0.2990934, 2.25
HIP 110960,337.2075023,-0.02006304, 3.65
HIP 97804,298.1181826,1.00567827, 3.87
HIP 57757,177.6720255,1.76537705, 3.59
HIP 72220,221.5624659,1.8929383, 3.73
HIP 80883,247.7285051,1.98410056, 3.82
HIP 45336,138.5908053,2.31502422, 3.89
HIP 22797,73.5628985,2.44067149, 3.71
HIP 87108,266.9732252,2.70745875, 3.75
HIP 9487,30.51166929,2.76376048, 3.82
HIP 88192,270.1613147,2.93158759, 3.93
HIP 95501,291.3739694,3.11457923, 3.36
HIP 12706,40.82551897,3.23617162, 3.47
HIP 114971,349.2895568,3.28224524, 3.70
HIP 63090,193.9020137,3.39759862, 3.39
HIP 14135,45.56991279,4.08992539, 2.54
HIP 77622,237.7037134,4.4775798, 3.71
HIP 86742,265.8682371,4.56691684, 2.76
HIP 37279,114.8272419,5.22750767, 0.40
HIP 104987,318.9558198,5.2480739, 3.92
HIP 22549,72.80152507,5.60510146, 3.68
HIP 43813,133.8486869,5.9455277, 3.11
HIP 18907,60.78907003,5.98930909, 3.91
HIP 109427,332.549249,6.197789, 3.52
HIP 25336,81.28278416,6.34973451, 1.64
HIP 98036,298.8281923,6.40793334, 3.71
HIP 43109,131.6943593,6.41890691, 3.38
HIP 77070,236.0666491,6.42551971, 2.63
HIP 22449,72.45890935,6.96124744, 3.19
HIP 27989,88.79287161,7.40703634, 0.45
HIP 36188,111.7878012,8.28940893, 2.89
HIP 97649,297.6945086,8.86738491, 0.76
HIP 15900,51.20349011,9.02906504, 3.61
HIP 40526,124.128951,9.18566295, 3.53
HIP 51624,158.2028131,9.30659431, 3.84
HIP 83000,254.4177942,9.37505626, 3.19
HIP 88771,271.8375861,9.56365345, 3.71
HIP 16083,51.79217049,9.7327724, 3.73
HIP 107315,326.0464181,9.87500791, 2.38
HIP 47508,145.2879912,9.89239902, 3.52
HIP 26207,83.78449043,9.93416294, 3.39
HIP 76276,233.7007926,10.53885916, 3.80
HIP 97278,296.5648757,10.61326869, 2.72
HIP 112029,340.3653118,10.83139111, 3.41
HIP 63608,195.5448356,10.95910186, 2.85
HIP 49669,152.0935808,11.96719513, 1.36
HIP 18724,60.17008591,12.49037571, 3.41
HIP 86032,263.7333532,12.56057584, 2.08
HIP 32362,101.3226398,12.89605513, 3.35
HIP 71795,220.2871682,13.72833113, 3.78
HIP 93747,286.3525518,13.86370983, 2.99
HIP 84345,258.6619269,14.39025314, 2.78
HIP 57632,177.2661598,14.57233687, 2.14
HIP 101769,309.3869573,14.59520289, 3.64
HIP 1067,3.30895828,15.18361593, 2.83
HIP 113963,346.1900702,15.20536786, 2.49
HIP 7097,22.87080776,15.34583101, 3.62
HIP 77233,236.5467288,15.42192602, 3.65
HIP 54879,168.5601704,15.4297631, 3.33
HIP 20205,64.94805793,15.62770031, 3.65
HIP 78072,239.112476,15.66473327, 3.85
HIP 20894,67.16531219,15.8709468, 3.40
HIP 101958,309.909394,15.9120527, 3.77
HIP 20885,67.14346805,15.96221721, 3.84
HIP 31681,99.42792641,16.39941482, 1.93
HIP 21421,68.98000195,16.50976164, 0.87
HIP 35350,109.5233616,16.54047526, 3.58
HIP 49583,151.8331395,16.76266572, 3.48
HIP 20455,65.73344722,17.5425843, 3.77
HIP 42911,131.1712921,18.15486399, 3.94
HIP 67927,208.6713175,18.39858742, 2.68
HIP 97365,296.8469384,18.53425912, 3.68
HIP 80170,245.480182,19.15302185, 3.74
HIP 20889,67.15388879,19.18052092, 3.53
HIP 69673,213.918114,19.18726997,-0.05
HIP 8832,28.38235506,19.29409264, 3.88
HIP 98337,299.6891152,19.49209287, 3.51
HIP 50583,154.9923405,19.84186032, 2.01
HIP 54872,168.5267171,20.52403384, 2.56
HIP 8903,28.65978771,20.80829949, 2.64
HIP 26451,84.41118447,21.14259299, 2.97
HIP 80816,247.555257,21.4896485, 2.78
HIP 90139,275.9240282,21.77034249, 3.85
HIP 35550,110.0307889,21.98233941, 3.50
HIP 29655,93.71956952,22.50682376, 3.31
HIP 30343,95.73996302,22.51385027, 2.87
HIP 50335,154.1725181,23.4173284, 3.43
HIP 9884,31.79285757,23.46277743, 2.01
HIP 112440,341.6326766,23.56567939, 3.97
HIP 47908,146.4629267,23.77427792, 2.97
HIP 17847,57.29054669,24.05352412, 3.62
HIP 17702,56.87110065,24.10524193, 2.85
HIP 17499,56.21884811,24.1134484, 3.72
HIP 17573,56.45663804,24.36785796, 3.87
HIP 37740,116.1119524,24.39812929, 3.57
HIP 112748,342.5004181,24.60168486, 3.51
HIP 84379,258.7580174,24.83958739, 3.12
HIP 32246,100.9830409,25.13115531, 3.06
HIP 109176,331.7519773,25.3450461, 3.77
HIP 48455,148.1914903,26.00708498, 3.88
HIP 76952,235.6859927,26.29551419, 3.81
